219;V0622;Aql;193323+1058.3;52572.5;61.564983;11.39;0.30;LB;19;93;23;+;10;58.3
220;GO;Aql;193331+0135.0;52553.8;358.706696;11.98;0.25;M;19;93;31;+;01;35.0
221;V1294;Aql;193337+0345.7;53164.4;332.162018;7.31;0.35;GCAS;19;93;37;+;03;45.7
222;V1355;Aql;193352+1556.4;52725.298;0.515783;11.87;0.72;EB;19;93;52;+;15;56.4
223;BX;Aql;193401-0158.8;52572.3;260.309784;12.49;2.23;MIRA(ASAS);19;93;01;-;01;58.8
224;V0924;Aql;193437-0547.9;52944;270.785217;12.24;2.48;M;19;93;37;-;05;47.9
225;V1261;Aql;193444+0708.8;52449.3;36.116764;8.56;0.30;LB;19;93;44;+;07;08.8
226;V1458;Aql;193456+0614.0;52748.1;144.927536;8.26;0.17;SRA;19;93;56;+;06;14.0
227;PW;Aql;193505-0518.7;52027.29;0.475060;13.18;1.07;RRAB;19;93;05;-;05;18.7
228;V1263;Aql;193513+0205.4;52188.619;59.984730;10.63;0.28;LB;19;93;13;+;02;05.4
229;V0417;Aql;193524+0550.3;52383.1;0.370306;10.47;0.60;EW/KW:;19;93;24;+;05;50.3
230;V0607;Aql;193526+0042.7;53084.4;366.231842;12.20;2.78;M;19;93;26;+;00;42.7
231;BZ;Aql;193529-0144.3;52739.1;320.357910;12.27;2.71;M;19;93;29;-;01;44.3
232;V0862;Aql;193542-0011.9;52702.7;277.777771;13.34;1.78;M;19;93;42;-;00;11.9
233;V0870;Aql;193614+0704.3;52670.5;89.320274;12.60;1.58;RV;19;93;14;+;07;04.3
234;V0387;Aql;193625+0049.2;52451.5;158.245407;12.07;0.97;SRA;19;93;25;+;00;49.2
235;LO;Aql;193629+1058.2;52687;153.606079;11.20;2.90;M;19;93;29;+;10;58.2
236;V0389;Aql;193638+0304.9;52888;324.901489;12.18;0.64;L;19;93;38;+;03;04.9
237;V0418;Aql;193639+0356.7;52378.3;4.469566;11.61;0.31;EA/SD;19;93;39;+;03;56.7
238;V0636;Aql;193711+0718.4;52476.512;53.206585;13.14;0.50;M:;19;93;11;+;07;18.4
239;LQ;Aql;193743+1538.1;53054.1;138.321091;12.19;0.51;MISC(ASAS);19;93;43;+;15;38.1
240;V0391;Aql;193752+0643.7;53004.9;285.322418;9.78;0.62;LB;19;93;52;+;06;43.7
241;V0640;Aql;193753+1047.1;52383.087;0.561220;12.14;0.41;EB/KE;19;93;53;+;10;47.1
242;RT;Aql;193801+1143.3;53126.1;320.357910;8.53;4.61;M;19;93;01;+;11;43.3
243;V0642;Aql;193811+1120.8;52561.2;89.163261;12.13;0.52;LB;19;93;11;+;11;20.8
244;CD;Aql;193815-0419.0;52553;229.204956;11.15;3.71;M;19;93;15;-;04;19.0
245;V0339;Aql;193833-0957.2;52426.7;209.832336;10.75;3.96;M;19;93;33;-;09;57.2
246;V0392;Aql;193834-0031.6;52317.2;97.483307;11.68;0.44;LB;19;93;34;-;00;31.6
247;V0393;Aql;193842+0239.7;53155.1;245.008347;13.04;1.81;M;19;93;42;+;02;39.7
248;V0419;Aql;193848+0015.6;52232.2;212.217682;12.29;0.55;L;19;93;48;+;00;15.6
249;LU;Aql;193852+1544.2;53077.3;111.525543;8.86;0.43;SRB;19;93;52;+;15;44.2
250;V0648;Aql;193904+0738.2;52728.2;146.319183;11.55;0.50;SRA;19;93;04;+;07;38.2
